PRT_ID,AREA,LATITUDE,LONGITUDE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,INT_SQFT,
P03210,Karapakkam,12.9190519,80.2300343,131,1,1,3,AbNormal,Yes,Commercial,AllPub,Paved,A,4,3.9,4.9,4.33,380000,144400,7600000,1004,
P09411,Anna Nagar,13.0849557,80.2101342,26,2,1,5,AbNormal,No,Commercial,AllPub,Gravel,RH,4.9,4.2,2.5,3.765,760122,304049,21717770,1986,
P01812,Adyar,13.0011774,80.2564957,70,1,1,3,AbNormal,Yes,Commercial,ELO,Gravel,RL,4.1,3.8,2.2,3.09,421094,92114,13159200,909,
P05346,Velachery,12.9754605,80.2207047,14,3,2,5,Family,No,Others,NoSewr ,Paved,I,4.7,3.9,3.6,4.01,356321,77042,9630290,1855,
P06210,Karapakkam,12.9190519,80.2300343,84,1,1,3,AbNormal,Yes,Others,AllPub,Gravel,C,3,2.5,4.1,3.29,237000,74063,7406250,1226,
P00219,Chrompet,12.951611,80.1461663,36,2,1,4,Partial,No,Commercial,NoSeWa,No Access,RH,4.5,2.6,3.1,3.32,409027,198316,12394750,1220,
P09105,Chrompet,12.951611,80.1461663,137,1,1,3,Partial,No,Other,AllPub,No Access,RL,3.6,2.1,2.5,2.67,263152,33955,8488790,1167,
P09679,Velachery,12.9754605,80.2207047,176,3,2,5,Family,No,Commercial,AllPub,Gravel,RM,2.4,4.5,2.1,3.26,604809,235204,16800250,1847,
P03377,Chrompet,12.951611,80.1461663,175,1,1,2,AdjLand,No,Others,NoSewr ,Paved,RM,2.9,3.7,4,3.55,257578,33236,8308970,771,
P09623,Velachery,12.9754605,80.2207047,74,2,1,4,AbNormal,No,Others,ELO,No Access,I,3.1,3.1,3.3,3.16,323346,121255,8083650,1635,
P09540,Chrompet,12.951611,80.1461663,78,2,1,4,AdjLand,Yes,Commercial,AllPub,No Access,RM,4,3.2,4.5,3.83,403326,119504,14938000,1203,
P07121,Chrompet,12.951611,80.1461663,143,1,1,3,Partial,No,Others,NoSewr ,Gravel,RM,2.2,3.1,3.3,2.89,245693,141746,9449730,1054,
P05512,Chrompet,12.951611,80.1461663,137,1,1,3,Family,No,Others,NoSewr ,No Access,RL,2.1,2.5,2.1,2.26,289554,35097,8774370,1196,
P09370,Adyar,13.0011774,80.2564957,83,1,1,3,Partial,Yes,Others,NoSewr ,Paved,RH,2.2,3.4,3.7,3.19,319141,37546,9386490,1056,
P04085,Velachery,12.9754605,80.2207047,157,3,2,5,Family,No,Commercial,NoSewr ,Paved,RM,4.8,2.2,4.9,3.66,619987,294494,15499680,1865,
P06328,Velachery,12.9754605,80.2207047,148,3,2,5,Family,No,Commercial,NoSewr ,Gravel,RH,3.8,3.8,3.1,3.566666667,597135,188569,15714080,1868,
P06039,Karapakkam,12.9190519,80.2300343,175,2,2,4,Normal Sale,Yes,House,ELO,Gravel,I,2.3,3.2,4.8,3.57,285648,77904,8656000,1639,
P02016,Chrompet,12.951611,80.1461663,134,1,1,2,AdjLand,Yes,Commercial,AllPub,No Access,RL,3.5,4.6,4.7,4.3,316464,130951,10912550,796,
